Date,Clip,AP(%),TP(%),FP(%),Missed(%)
2019_11_05,000002,60.36,1.87,39.64,98.13
2019_11_05,000009,17.44,1.10,82.56,98.90
2019_11_11,000016,0.00,0.00,0.00,100.00
2019_11_11,000028,16.67,5.23,83.33,94.77
2019_11_11,000036,30.00,0.86,70.00,99.14
2019_11_15,000033,6.09,1.43,93.91,98.57
2019_11_22,000010,7.62,0.88,92.38,99.12
2019_11_28,000113,45.24,1.05,54.76,98.95
2019_12_02,000005,8.77,2.16,91.23,97.84
2019_12_02,000208,10.83,1.76,89.17,98.24
2019_12_10,000060,100.00,0.51,0.00,99.49
2019_12_10,000078,11.11,4.83,88.89,95.17
Whole,Set,16.95,1.60,83.05,98.40
